title,city,country_code,marker_icon,workplace_type,experience_level,latitude,longitude,published_at,remote_interview,display_offer,employment_type,salary_from,salary_to,salary_currency,skills_one,skills_two,skills_three
Junior DevOps Engineer,Gdańsk,PL,devops,remote,junior,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Poznań,PL,devops,remote,junior,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Toruń,PL,devops,remote,junior,53.0137902,18.5984437,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Bielsko-Biała,PL,devops,remote,junior,49.8223768,19.0583845,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Wałbrzych,PL,devops,remote,junior,50.7840092,16.2843553,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Białystok,PL,devops,remote,junior,53.1328811,23.1555582,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Olsztyn,PL,devops,remote,junior,53.778422,20.4801193,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Zielona Góra,PL,devops,remote,junior,51.9356214,15.5061862,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Gorzów Wielkopolski,PL,devops,remote,junior,52.7325285,15.2369305,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Częstochowa,PL,devops,remote,junior,50.8131614,19.1047394,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Fullstack JavaScript Engineer with React,Kraków,PL,javascript,remote,senior,50.0646501,19.9449799,2023-04-06,FALSE,FALSE,b2b,18480,26880,pln,Node.js,TypeScript,JavaScript
Junior DevOps Engineer,Wrocław,PL,devops,remote,junior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Kraków,PL,devops,remote,junior,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
Junior DevOps Engineer,Warszawa,PL,devops,remote,junior,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,8500,12000,pln,Kubernetes,Docker,AWS
PHP Developer,Wrocław,PL,php,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,10000,15000,pln,SQL,Yii,PHP
PHP Developer,Kraków,PL,php,remote,senior,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,15000,20000,pln,Docker,Yii,PHP
PHP Developer,Kraków,PL,php,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,10000,15000,pln,SQL,Yii,PHP
PHP Developer,Wrocław,PL,php,remote,senior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,15000,20000,pln,Docker,Yii,PHP
DevOps Engineer,Wałbrzych,PL,devops,remote,mid,50.7742898,16.2700973,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Bielsko-Biała,PL,devops,remote,mid,49.8223768,19.0583845,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Łódź,PL,devops,remote,mid,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Białystok,PL,devops,remote,mid,53.1328811,23.1555582,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Olsztyn,PL,devops,remote,mid,53.778422,20.4801193,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Zielona Góra,PL,devops,remote,mid,51.9356214,15.5061862,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Gorzów Wielkopolski,PL,devops,remote,mid,52.7325285,15.2369305,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Bydgoszcz,PL,devops,remote,mid,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Częstochowa,PL,devops,remote,mid,50.8118195,19.1203094,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Rzeszów,PL,devops,remote,mid,50.0411867,21.9991196,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Lublin,PL,devops,remote,mid,51.2464536,22.5684463,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
Data Scientist,Katowice,PL,python,remote,senior,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Kraków,PL,python,remote,senior,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
DevOps Engineer,Katowice,PL,devops,remote,mid,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Warszawa,PL,devops,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Szczecin,PL,devops,remote,mid,53.4330206,14.5483543,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Poznań,PL,devops,remote,mid,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Toruń,PL,devops,remote,mid,53.0137902,18.5984437,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Wrocław,PL,devops,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
DevOps Engineer,Kraków,PL,devops,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,16000,20000,pln,CI/CD,Linux,Ansible
Data Scientist,Wrocław,PL,python,remote,senior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Łódź,PL,python,remote,senior,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Poznań,PL,python,remote,senior,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Warszawa,PL,python,remote,senior,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Bydgoszcz,PL,python,remote,senior,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Toruń,PL,python,remote,senior,53.0137902,18.5984437,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Data Scientist,Gdańsk,PL,python,remote,senior,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,20000,30000,pln,SQL,Python,Data Science
Front-end Developer -  React.js / Gatsby,Poznań,PL,javascript,remote,mid,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,b2b,5500,10000,pln,JavaScript,ReactJS,React
Senior Back-end Developer,Łódź,PL,python,remote,senior,51.7592485,19.4559833,2023-04-06,FALSE,FALSE,b2b,18000,25000,pln,Flask,Django,Python
Scrum Master,Gorzów Wielkopolski,PL,pm,partly_remote,senior,52.7325285,15.2369305,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Zielona Góra,PL,pm,partly_remote,senior,51.9356214,15.5061862,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Bielsko-Biała,PL,pm,partly_remote,senior,49.8223768,19.0583845,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Poznań,PL,pm,partly_remote,senior,52.406374,16.9251681,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Katowice,PL,pm,partly_remote,senior,50.2648919,19.0237815,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Warszawa,PL,pm,partly_remote,senior,52.2296756,21.0122287,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Wrocław,PL,pm,partly_remote,senior,51.1078852,17.0385376,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Kielce,PL,pm,partly_remote,senior,50.8660773,20.6285677,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Olsztyn,PL,pm,partly_remote,senior,53.778422,20.4801193,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Częstochowa,PL,pm,partly_remote,senior,50.8118195,19.1203094,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Toruń,PL,pm,partly_remote,senior,53.0137902,18.5984437,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Gdynia,PL,pm,partly_remote,senior,54.5188898,18.5305409,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Front-end Developer -  React.js / Gatsby,Wrocław,PL,javascript,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,5500,10000,pln,JavaScript,ReactJS,React
Senior Back-end Developer,Warszawa,PL,python,remote,senior,52.2438729,20.983185,2023-04-06,FALSE,FALSE,b2b,18000,25000,pln,Flask,Django,Python
Scrum Master,Lublin,PL,pm,partly_remote,senior,51.2464536,22.5684463,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Białystok,PL,pm,partly_remote,senior,53.1324886,23.1688403,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Remote Senior Java Backend Developer,Łódź,PL,java,remote,senior,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,b2b,22200,30000,pln,Maven,REST,Java
Scrum Master,Rzeszów,PL,pm,partly_remote,senior,50.0411867,21.9991196,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Szczecin,PL,pm,partly_remote,senior,53.4285438,14.5528116,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Scrum Master,Łódź,PL,pm,partly_remote,senior,51.7592485,19.4559833,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,JIRA,Confluence,Agile (SCRUM/Kanban)
Front-end Developer -  React.js / Gatsby,Kraków,PL,javascript,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,5500,10000,pln,JavaScript,ReactJS,React
Front-end Developer -  React.js / Gatsby,Gdańsk,PL,javascript,remote,mid,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,5500,10000,pln,JavaScript,ReactJS,React
Python Developer,Olsztyn,PL,python,remote,mid,53.778422,20.4801193,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Opole,PL,python,remote,mid,50.6683223,17.9230651,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Kielce,PL,python,remote,mid,50.8660773,20.6285677,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Gorzów Wielkopolski,PL,python,remote,mid,52.7325285,15.2369305,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Gdańsk,PL,python,remote,mid,54.3520252,18.6466384,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Białystok,PL,python,remote,mid,53.1324886,23.1688403,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Łódź,PL,python,remote,mid,51.7592485,19.4559833,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Katowice,PL,python,remote,mid,50.2648919,19.0237815,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Bydgoszcz,PL,python,remote,mid,53.1234804,18.0084378,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Kraków,PL,python,remote,mid,50.0646501,19.9449799,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Lublin,PL,python,remote,mid,51.2464536,22.5684463,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Rzeszów,PL,python,remote,mid,50.0411867,21.9991196,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Szczecin,PL,python,remote,mid,53.4285438,14.5528116,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Toruń,PL,python,remote,mid,53.0137902,18.5984437,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Wrocław,PL,python,remote,mid,51.1078852,17.0385376,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Poznań,PL,python,remote,mid,52.406374,16.9251681,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Zielona Góra,PL,python,remote,mid,51.9356214,15.5061862,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python Developer,Gliwice,PL,python,remote,mid,50.2944923,18.6713802,2023-04-06,FALSE,FALSE,permanent,15000,20000,pln,Docker,HTTP,Python
Python/Bash Software Developer for Linux,Warszawa,PL,python,remote,junior,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,permanent,6000,12000,pln,Bash,Python,Linux
Python/Bash Software Developer for Linux,Katowice,PL,python,remote,junior,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,permanent,6000,12000,pln,Bash,Python,Linux
Python/Bash Software Developer for Linux,Wrocław,PL,python,remote,junior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,permanent,6000,12000,pln,Bash,Python,Linux
Software Developer (WebMethods),Warszawa,PL,architecture,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,7500,15000,pln,Linux,Mule,webMethods
Software Developer (WebMethods),Katowice,PL,architecture,remote,mid,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,7500,15000,pln,Linux,Mule,webMethods
Software Developer (WebMethods),Wrocław,PL,architecture,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,7500,15000,pln,Linux,Mule,webMethods
Data Engineer (with AWS),Warszawa,PL,data,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
"Full-stack Dev (Angular, Node.js, 3D)",Bielsko-Biała,PL,javascript,remote,mid,49.8223768,19.0583845,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Białystok,PL,javascript,remote,mid,53.1324886,23.1688403,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Bydgoszcz,PL,javascript,remote,mid,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Katowice,PL,javascript,remote,mid,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Poznań,PL,javascript,remote,mid,52.406374,16.9251681,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Gdańsk,PL,javascript,remote,mid,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Kraków,PL,javascript,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
"Full-stack Dev (Angular, Node.js, 3D)",Wrocław,PL,javascript,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
WordPress Developer (learn Shopify),Łódź,PL,php,remote,mid,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
"Full-stack Dev (Angular, Node.js, 3D)",Warszawa,PL,javascript,remote,mid,52.2296756,21.0122287,2023-04-06,TRUE,FALSE,b2b,14000,25500,pln,TypeScript,Node.js,Angular
WordPress Developer (learn Shopify),Olsztyn,PL,php,remote,mid,53.778422,20.4801193,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Bydgoszcz,PL,php,remote,mid,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Rzeszów,PL,php,remote,mid,50.0411867,21.9991196,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Katowice,PL,php,remote,mid,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Gdańsk,PL,php,remote,mid,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Wrocław,PL,php,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Kraków,PL,php,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
WordPress Developer (learn Shopify),Warszawa,PL,php,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,8000,11000,pln,WordPress,CSS3 / SASS,HTML5
Project Manager,Kraków,PL,pm,remote,mid,50.071003,19.8919682,2023-04-06,TRUE,FALSE,b2b,11760,18480,pln,Confluence,JIRA,E-commerce
Project Manager,Warszawa,PL,pm,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,FALSE,b2b,11760,18480,pln,Confluence,JIRA,E-commerce
Data Engineer (with AWS),Rzeszów,PL,data,remote,mid,50.0411867,21.9991196,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Bielsko-Biała,PL,data,remote,mid,49.8223768,19.0583845,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Wałbrzych,PL,data,remote,mid,50.7742898,16.2700973,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Łódź,PL,data,remote,mid,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Białystok,PL,data,remote,mid,53.1328811,23.1555582,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Olsztyn,PL,data,remote,mid,53.778422,20.4801193,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Zielona Góra,PL,data,remote,mid,51.9356214,15.5061862,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Gorzów Wielkopolski,PL,data,remote,mid,52.7325285,15.2369305,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Częstochowa,PL,data,remote,mid,50.8131614,19.1047394,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Bydgoszcz,PL,data,remote,mid,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Lublin,PL,data,remote,mid,51.2464536,22.5684463,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Katowice,PL,data,remote,mid,50.2648919,19.0237815,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Szczecin,PL,data,remote,mid,53.4330206,14.5483543,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Gdańsk,PL,data,remote,mid,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Poznań,PL,data,remote,mid,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Toruń,PL,data,remote,mid,53.0137902,18.5984437,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Data Engineer (with AWS),Kraków,PL,data,remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,b2b,19000,30500,pln,Redshift,Data Lake S3,AWS
Senior C++ Engineer,Olsztyn,PL,c,remote,senior,53.778422,20.4801193,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Backend .NET Developer,Olsztyn,PL,net,remote,senior,53.778422,20.4801193,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Szczecin,PL,net,remote,senior,53.4330206,14.5483543,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Poznań,PL,net,remote,senior,52.4093634,16.9317991,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Toruń,PL,net,remote,senior,53.0137902,18.5984437,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Rzeszów,PL,net,remote,senior,50.0411867,21.9991196,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Wrocław,PL,net,remote,senior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Zielona Góra,PL,net,remote,senior,51.9356214,15.5061862,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Senior C++ Engineer,Lublin,PL,c,remote,senior,51.2464536,22.5684463,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Łódź,PL,c,remote,senior,51.7592485,19.4559833,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Bielsko-Biała,PL,c,remote,senior,49.8223768,19.0583845,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Białystok,PL,c,remote,senior,53.1324886,23.1688403,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Gdańsk,PL,c,remote,senior,54.3520252,18.6466384,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Katowice,PL,c,remote,senior,50.2648919,19.0237815,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Backend .NET Developer,Gliwice,PL,net,remote,senior,50.2944923,18.6713802,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Senior Java Developer,Wrocław,PL,java,partly_remote,senior,51.1078852,17.0385376,2023-04-06,TRUE,FALSE,permanent,18000,23000,pln,Kubernetes,Docker,Java
Backend .NET Developer,Bydgoszcz,PL,net,remote,senior,53.1234804,18.0084378,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Białystok,PL,net,remote,senior,53.1328811,23.1555582,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Kielce,PL,net,remote,senior,50.8660773,20.6285677,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Lublin,PL,net,remote,senior,51.2464536,22.5684463,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Łódź,PL,net,remote,senior,51.7592485,19.4559833,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Gdańsk,PL,net,remote,senior,54.3520252,18.6466384,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Gorzów Wielkopolski,PL,net,remote,senior,52.7325285,15.2369305,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Kraków,PL,net,remote,senior,50.0646501,19.9449799,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Backend .NET Developer,Chorzów,PL,net,remote,senior,50.2863036,18.9514784,2023-04-06,TRUE,FALSE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Senior C++ Engineer,Toruń,PL,c,remote,senior,53.0137902,18.5984437,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Zamość,PL,c,remote,senior,50.7230879,23.2519686,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Zielona Góra,PL,c,remote,senior,51.9356214,15.5061862,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
Senior C++ Engineer,Rzeszów,PL,c,remote,senior,50.0411867,21.9991196,2023-04-06,FALSE,FALSE,b2b,16000,29000,pln,GCP,Computer science,C++
